Product,Old Price,Discount,New Price
 Termómetro Infrarrojo Envío Nacional ," $ 1,899 ",11% OFF,"1,679"
 Consola Arcade Pandora Box 5s Palanca 999 Juegos Tablero ," $ 9,999 ",74% OFF,"2,599"
 Estéreo Para Coche Con Pantalla Hd De 7 In Radio Fm Aux Usb ," $ 1,559 ",42% OFF,899
 Colchón Matrimonial America Smart Confort + Envió Gratis ," $ 4,500 ",33% OFF,"2,999"
 Pantalla Hisense Roku Tv 32 Pulgadas Asistente Google 32h4f ," $ 3,999 ",15% OFF,"3,399"
 Laptop Hp Pavilion 14-ck0039la Intel Celeron 4 Gb 500 Gb ," $ 7,899 ",8% OFF,"7,199"
 Lavabo Portatil Lava Cabezas Para Salon Estetica Bote ," $ 1,490 ",26% OFF,"1,090"
" Caja Fuerte Electrónica Para Notebook - 22,5 Litros - Klatter "," $ 1,199 ",26% OFF,879
" Smart TV Hisense H4F Series Full HD 43"" 43H4030 "," $ 6,299 ",15% OFF,"5,299"
" Bandas Elásticas Para Ejercicio, Pack De 11 Piezas "," $ 1,075 ",31% OFF,740
 Colchones King Size Spring Air Ortopédico +almohadas Gratis ," $ 13,800 ",66% OFF,"4,599"
" Leche De Crecimiento Enfagrow Etapa 3, Caja 1.1 Kg ", $ 339 ,30% OFF,237
 Parrilla Gas 4 Quemadores Acero Inox Hogar Empotrable ," $ 2,899 ",31% OFF,"1,999"
 Bolsa G By Guess Tipo Satchel Multicolor Le250706 ," $ 1,490 ",39% OFF,899
 Tenis adidas Hombre Blanco Verde Vs Advantage D97609 ," $ 1,299 ",36% OFF,819
 Silla Ejecutiva Moderna Base Metalica Silla Oficina Colores ," $ 1,449 ",12% OFF,"1,275"
 Niquitin Parches Nicotina Para Dejar De Fumar Etapa 1 - 3pk , $ 565 ,22% OFF,439
 Batería De Cocina Acero Inoxidable De 9 Piezas Cinsa ,,,"1,099"
 Hygt5134 Bordeadora Eléctrica Hyundai 110v/60hz 300w Corte 2 , $ 799 ,37% OFF,499
 Carriola De Baston Infanti Zidy Ligera Compacta Reversible ," $ 1,699 ",17% OFF,"1,399"
" Hot Wheels City, Super Ultimate Garage "," $ 5,499 ",40% OFF,"3,299"
 Redlemon Camara Endoscopio Wifi 5 M App Led Para Android Ios , $ 837 ,25% OFF,623
 Flat Casual Sport Flexi Dama 39113 Gris , $ 850 ,43% OFF,483
 Reloj Tommy Hilfiger Caballero Color Marrón 1791300 - S007 ," $ 6,399 ",59% OFF,"2,591"
 Reloj Enso Dama Color Rosa Ew9044lr22 - S023 ," $ 1,119 ",25% OFF,839
 Xiaomi Redmi Note 9S Dual SIM 64 GB Interstellar gray 4 GB RAM ," $ 5,649 ",14% OFF,"4,830"
 Xiaomi Redmi Note 9 128gb 4ram Quad Cámara Versión Global ," $ 6,329 ",13% OFF,"5,499"
 Celular Apple iPhone 6s 16gb Lightning Demo Desbloqueado ," $ 3,199 ",11% OFF,"2,819"
 Audifonos Bluetooth Apple AirPods Pro Originales ," $ 5,799 ",6% OFF,"5,399"
